Arc_ID,open_water_fraction
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1.26825
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0.43375
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1.53871
47,2.06125
48,1.5162
49,0
50,0
51,0
52,0
53,0.2208
54,0
55,0
56,2.2385
57,3.06585
58,0.84121
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0.38234
74,0.63407
75,0.031
76,1.13122
77,0.00089
78,0.26413
79,0.51293
80,0
81,0
82,0.68201
83,0.15684
84,0.54364
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0.63303
94,0.31521
95,0
96,0.47947
97,1.16272
98,0
99,0
100,0
101,0
102,0
103,0
104,0.31716
105,0.15555
106,0
107,0
108,0.49502
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0.76512
117,1.09006
118,0
119,0
120,0.71086
121,0
122,0
123,0
124,0
125,0
126,0.1388
127,0.30069
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0.21923
136,0
137,2.53546
138,1.3615
139,0
140,0
141,0.68788
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,2.93546
152,0
153,0
154,0
155,1.40489
156,0.73259
157,0
158,0
159,0
160,0
161,0.25396
162,0.1293
163,0.82771
164,0.25151
165,0
166,0
167,0
168,0
169,0.29132
170,0
171,0
172,0
173,0.10912
174,0
175,0.38782
176,0.71803
177,0
178,0
179,0
180,0.19102
181,0
182,0
183,1.12881
184,0
185,0
186,0
187,0.17655
188,0
189,0
190,0
191,0
192,0
193,0.58703
194,0.23176
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0.48933
205,0
206,0.72935
207,4.44658
208,0.56108
209,0.16885
210,0
211,0
212,0
213,0
214,0.13705
215,0.07299
216,0
217,0.27689
218,0.24398
219,0.21724
220,0.29036
221,0
222,0
223,0
224,1.54554
225,0.31194
226,0.14354
227,0
228,0
229,0
