Arc_ID,cell_area,outlet,super_basin_id
1,339.5253,1,1
2,339.5253,1,2
3,339.5253,1,3
4,339.5253,1,4
5,339.5253,1,5
6,339.5253,1,6
7,339.5253,1,7
8,339.5253,1,8
9,339.5253,1,9
10,339.5253,1,10
11,339.5253,1,11
12,339.5253,1,12
13,339.5253,1,13
14,339.5253,1,14
15,339.5253,1,15
16,339.5253,1,16
17,339.5253,1,17
18,339.5253,1,18
19,339.5253,1,19
20,366.5565,1,20
21,366.5565,1,21
22,366.5565,1,22
23,366.5565,1,23
24,366.5565,1,24
25,366.5565,1,25
26,366.5565,1,26
27,366.5565,1,27
28,366.5565,1,28
29,366.5565,1,29
30,366.5565,1,30
31,366.5565,1,31
32,366.5565,1,32
33,366.5565,1,33
34,366.5565,1,34
35,366.5565,1,35
36,366.5565,1,36
37,366.5565,1,37
38,366.5565,1,38
39,366.5565,1,39
40,366.5565,1,40
41,366.5565,1,41
42,366.5565,1,42
43,366.5565,1,43
44,366.5565,1,44
45,366.5565,1,45
46,366.5565,1,46
47,366.5565,1,47
48,366.5565,0,61
49,366.5565,0,61
50,366.5565,0,61
51,366.5565,0,61
52,366.5565,0,61
53,366.5565,0,61
54,366.5565,0,61
55,366.5565,0,61
56,366.5565,0,61
57,366.5565,0,61
58,366.5565,0,61
59,366.5565,0,61
60,366.5565,0,61
61,366.5565,1,61
62,366.5565,1,62
63,366.5565,1,63
64,366.5565,1,64
65,366.5565,1,65
66,366.5565,1,66
67,366.5565,1,67
68,366.5565,1,68
69,366.5565,1,69
70,393.5576,1,70
71,393.5576,1,71
72,393.5576,1,72
73,393.5576,1,73
74,393.5576,1,74
75,393.5576,1,75
76,393.5576,1,76
77,393.5576,1,77
78,393.5576,1,78
79,393.5576,1,79
80,393.5576,1,80
81,393.5576,1,81
82,393.5576,1,82
83,393.5576,1,83
84,393.5576,1,84
85,393.5576,1,85
86,393.5576,1,86
87,393.5576,1,87
88,393.5576,1,88
89,393.5576,1,89
90,393.5576,0,89
91,393.5576,0,89
92,393.5576,1,92
93,393.5576,0,92
94,393.5576,0,92
95,393.5576,0,98
96,393.5576,0,98
97,393.5576,0,98
98,393.5576,1,98
99,393.5576,1,99
100,393.5576,1,100
101,393.5576,1,101
102,393.5576,1,102
103,393.5576,1,103
104,393.5576,1,104
105,393.5576,1,105
106,393.5576,1,106
107,393.5576,1,107
108,393.5576,1,108
109,393.5576,1,109
110,393.5576,1,110
111,393.5576,1,111
112,393.5576,1,112
113,393.5576,1,113
114,393.5576,1,114
115,393.5576,1,115
116,393.5576,1,116
117,393.5576,1,117
118,393.5576,1,118
119,393.5576,1,119
120,393.5576,1,120
121,393.5576,1,121
122,393.5576,1,122
123,393.5576,1,123
124,393.5576,1,124
125,393.5576,1,125
126,393.5576,1,126
127,393.5576,1,127
128,393.5576,1,128
129,393.5576,1,129
130,393.5576,1,130
131,393.5576,1,131
132,393.5576,1,132
133,393.5576,0,132
134,393.5576,0,132
135,393.5576,0,281
136,393.5576,0,281
137,393.5576,0,281
138,393.5576,0,281
139,393.5576,0,281
140,393.5576,0,281
141,393.5576,0,281
142,393.5576,0,281
143,393.5576,0,281
144,393.5576,0,281
145,393.5576,0,281
146,393.5576,0,281
147,393.5576,0,281
148,393.5576,0,281
149,393.5576,0,281
150,393.5576,0,281
151,393.5576,0,282
152,393.5576,0,283
153,393.5576,0,284
154,393.5576,1,154
155,393.5576,1,155
156,393.5576,1,156
157,393.5576,1,157
158,393.5576,1,158
159,393.5576,1,159
160,393.5576,1,160
161,393.5576,1,161
162,393.5576,1,162
163,393.5576,1,163
164,393.5576,1,164
165,393.5576,1,165
166,393.5576,1,166
167,393.5576,1,167
168,420.5263,1,168
169,420.5263,1,169
170,420.5263,1,170
171,420.5263,1,171
172,420.5263,1,172
173,420.5263,0,172
174,420.5263,0,175
175,420.5263,1,175
176,420.5263,1,176
177,420.5263,1,177
178,420.5263,1,178
179,420.5263,1,179
180,420.5263,1,180
181,420.5263,1,181
182,420.5263,1,182
183,420.5263,1,183
184,420.5263,0,183
185,420.5263,0,183
186,420.5263,0,183
187,420.5263,0,183
188,420.5263,0,183
189,420.5263,0,183
190,420.5263,0,82
191,420.5263,0,82
192,420.5263,0,82
193,420.5263,0,82
194,420.5263,0,82
195,420.5263,0,82
196,420.5263,0,89
197,420.5263,0,89
198,420.5263,0,89
199,420.5263,0,89
200,420.5263,0,350
201,420.5263,0,350
202,420.5263,0,350
203,420.5263,0,350
204,420.5263,0,98
205,420.5263,0,98
206,420.5263,0,98
207,420.5263,0,98
208,420.5263,0,98
209,420.5263,0,353
210,420.5263,0,353
211,420.5263,0,357
212,420.5263,0,357
213,420.5263,0,357
214,420.5263,0,218
215,420.5263,0,218
216,420.5263,0,218
217,420.5263,0,218
218,420.5263,1,218
219,420.5263,1,219
220,420.5263,1,220
221,420.5263,1,221
222,420.5263,1,222
223,420.5263,1,223
224,420.5263,1,224
225,420.5263,1,225
226,420.5263,1,226
227,420.5263,1,227
228,420.5263,1,228
229,420.5263,1,229
230,420.5263,1,230
231,420.5263,1,231
232,420.5263,1,232
233,420.5263,1,233
234,420.5263,1,234
235,420.5263,1,235
236,420.5263,1,236
237,420.5263,1,237
238,420.5263,1,238
239,420.5263,1,239
240,420.5263,1,240
241,420.5263,1,241
242,420.5263,1,242
243,420.5263,1,243
244,420.5263,1,244
245,420.5263,1,245
246,420.5263,1,246
247,420.5263,1,247
248,420.5263,1,248
249,420.5263,1,249
250,420.5263,1,250
251,420.5263,1,251
252,420.5263,1,252
253,420.5263,1,253
254,420.5263,1,254
255,420.5263,1,255
256,420.5263,0,125
257,420.5263,0,126
258,420.5263,0,127
259,420.5263,0,128
260,420.5263,0,129
261,420.5263,0,129
262,420.5263,0,129
263,420.5263,0,129
264,420.5263,0,129
265,420.5263,0,129
266,420.5263,0,129
267,420.5263,0,129
268,420.5263,0,281
269,420.5263,0,281
270,420.5263,0,281
271,420.5263,0,281
272,420.5263,0,281
273,420.5263,0,281
274,420.5263,0,281
275,420.5263,0,281
276,420.5263,0,281
277,420.5263,0,281
278,420.5263,0,281
279,420.5263,0,281
280,420.5263,0,281
281,420.5263,1,281
282,420.5263,1,282
283,420.5263,1,283
284,420.5263,1,284
285,420.5263,1,285
286,420.5263,1,286
287,420.5263,1,287
288,420.5263,1,288
289,420.5263,1,289
290,420.5263,1,290
291,420.5263,1,291
292,420.5263,1,292
293,420.5263,1,293
294,420.5263,1,294
295,420.5263,1,295
296,420.5263,1,296
297,420.5263,1,297
298,420.5263,1,298
299,420.5263,1,299
300,420.5263,1,300
301,420.5263,1,301
302,420.5263,1,302
303,447.4604,1,303
304,447.4604,1,304
305,447.4604,1,305
306,447.4604,1,306
307,447.4604,1,307
308,447.4604,1,308
309,447.4604,1,309
310,447.4604,0,309
311,447.4604,0,309
312,447.4604,0,309
313,447.4604,1,313
314,447.4604,0,313
315,447.4604,0,313
316,447.4604,0,172
317,447.4604,0,172
318,447.4604,0,172
319,447.4604,0,178
320,447.4604,0,178
321,447.4604,0,178
322,447.4604,0,179
323,447.4604,0,180
324,447.4604,0,180
325,447.4604,0,181
326,447.4604,1,326
327,447.4604,1,327
328,447.4604,0,327
329,447.4604,0,327
330,447.4604,0,504
331,447.4604,0,504
332,447.4604,0,504
333,447.4604,0,504
334,447.4604,0,504
335,447.4604,0,504
336,447.4604,0,504
337,447.4604,0,696
338,447.4604,0,350
339,447.4604,0,350
340,447.4604,0,350
341,447.4604,0,350
342,447.4604,0,350
343,447.4604,0,350
344,447.4604,0,350
345,447.4604,0,350
346,447.4604,0,350
347,447.4604,0,350
348,447.4604,0,350
349,447.4604,0,350
350,447.4604,1,350
351,447.4604,1,351
352,447.4604,1,352
353,447.4604,1,353
354,447.4604,1,354
355,447.4604,1,355
356,447.4604,1,356
357,447.4604,1,357
358,447.4604,1,358
359,447.4604,1,359
360,447.4604,1,360
361,447.4604,1,361
362,447.4604,1,362
363,447.4604,1,363
364,447.4604,1,364
365,447.4604,1,365
366,447.4604,1,366
367,447.4604,1,367
368,447.4604,1,368
369,447.4604,1,369
370,447.4604,1,370
371,447.4604,1,371
372,447.4604,0,371
373,447.4604,0,230
374,447.4604,0,230
375,447.4604,0,230
376,447.4604,0,230
377,447.4604,0,378
378,447.4604,1,378
379,447.4604,1,379
380,447.4604,0,379
381,447.4604,1,381
382,447.4604,1,382
383,447.4604,1,383
384,447.4604,1,384
385,447.4604,1,385
386,447.4604,1,386
387,447.4604,0,386
388,447.4604,0,386
389,447.4604,0,386
390,447.4604,0,386
391,447.4604,0,394
392,447.4604,0,394
393,447.4604,0,394
394,447.4604,1,394
395,447.4604,1,395
396,447.4604,1,396
397,447.4604,1,397
398,447.4604,1,398
399,447.4604,1,399
400,447.4604,0,255
401,447.4604,0,125
402,447.4604,0,126
403,447.4604,0,127
404,447.4604,0,128
405,447.4604,0,129
406,447.4604,0,129
407,447.4604,0,129
408,447.4604,0,129
409,447.4604,0,129
410,447.4604,0,129
411,447.4604,0,129
412,447.4604,0,129
413,447.4604,0,281
414,447.4604,0,281
415,447.4604,0,281
416,447.4604,0,281
417,447.4604,0,281
418,447.4604,0,281
419,447.4604,0,420
420,447.4604,1,420
421,447.4604,1,421
422,447.4604,1,422
423,447.4604,1,423
424,447.4604,1,424
425,447.4604,1,425
426,447.4604,1,426
427,447.4604,0,282
428,447.4604,0,283
429,447.4604,0,284
430,447.4604,0,285
431,447.4604,0,432
432,447.4604,1,432
433,447.4604,1,433
434,447.4604,1,434
435,447.4604,1,435
436,447.4604,1,436
437,447.4604,1,437
438,447.4604,0,293
439,447.4604,0,294
440,447.4604,1,440
441,447.4604,1,441
442,447.4604,1,442
443,447.4604,1,443
444,447.4604,1,444
445,447.4604,1,445
446,447.4604,1,446
447,447.4604,1,447
448,447.4604,1,448
449,447.4604,1,449
450,447.4604,1,450
451,447.4604,1,451
452,447.4604,1,452
453,447.4604,1,453
454,447.4604,1,454
455,447.4604,1,455
456,447.4604,1,456
457,447.4604,1,457
458,447.4604,1,458
459,447.4604,1,459
460,447.4604,1,460
461,447.4604,1,461
462,447.4604,1,462
463,447.4604,1,463
464,447.4604,1,464
465,447.4604,1,465
466,447.4604,1,466
467,447.4604,1,467
468,447.4604,1,468
469,447.4604,1,469
470,447.4604,1,470
471,474.3578,1,471
472,474.3578,1,472
473,474.3578,1,473
474,474.3578,1,474
475,474.3578,1,475
476,474.3578,1,476
477,474.3578,1,477
478,474.3578,1,478
479,474.3578,1,479
480,474.3578,1,480
481,474.3578,0,480
482,474.3578,0,480
483,474.3578,0,480
484,474.3578,1,484
485,474.3578,1,485
486,474.3578,1,486
487,474.3578,1,487
488,474.3578,1,488
489,474.3578,0,488
490,474.3578,0,488
491,474.3578,0,488
492,474.3578,0,488
493,474.3578,0,488
494,474.3578,0,488
495,474.3578,0,488
496,474.3578,1,496
497,474.3578,0,500
498,474.3578,0,500
499,474.3578,0,500
500,474.3578,1,500
501,474.3578,1,501
502,474.3578,1,502
503,474.3578,1,503
504,474.3578,1,504
505,474.3578,0,504
506,474.3578,0,504
507,474.3578,0,504
508,474.3578,0,696
509,474.3578,0,696
510,474.3578,0,519
511,474.3578,0,519
512,474.3578,0,519
513,474.3578,0,519
514,474.3578,0,519
515,474.3578,0,519
516,474.3578,0,519
517,474.3578,0,519
518,474.3578,0,519
519,474.3578,1,519
520,474.3578,1,520
521,474.3578,1,521
522,474.3578,1,522
523,474.3578,1,523
524,474.3578,1,524
525,474.3578,1,525
526,474.3578,1,526
527,474.3578,1,527
528,474.3578,1,528
529,474.3578,1,529
530,474.3578,1,530
531,474.3578,1,531
532,474.3578,1,532
533,474.3578,1,533
534,474.3578,1,534
535,474.3578,1,535
536,474.3578,1,536
537,474.3578,1,537
538,474.3578,0,365
539,474.3578,0,366
540,474.3578,0,366
541,474.3578,0,367
542,474.3578,0,368
543,474.3578,0,368
544,474.3578,1,544
545,474.3578,1,545
546,474.3578,0,545
547,474.3578,0,545
548,474.3578,0,545
549,474.3578,0,545
550,474.3578,0,378
551,474.3578,0,378
552,474.3578,0,378
553,474.3578,0,378
554,474.3578,0,381
555,474.3578,0,382
556,474.3578,0,383
557,474.3578,0,384
558,474.3578,0,385
559,474.3578,0,386
560,474.3578,0,386
561,474.3578,0,386
562,474.3578,0,386
563,474.3578,0,386
564,474.3578,0,394
565,474.3578,0,394
566,474.3578,0,394
567,474.3578,0,394
568,474.3578,0,395
569,474.3578,0,396
570,474.3578,0,397
571,474.3578,0,398
572,474.3578,0,399
573,474.3578,0,255
574,474.3578,0,125
575,474.3578,0,126
576,474.3578,0,127
577,474.3578,0,128
578,474.3578,0,129
579,474.3578,0,129
580,474.3578,0,129
581,474.3578,0,129
582,474.3578,0,129
583,474.3578,0,129
584,474.3578,0,129
585,474.3578,0,129
586,474.3578,0,281
587,474.3578,0,281
588,474.3578,0,281
589,474.3578,0,281
590,474.3578,0,281
591,474.3578,0,420
592,474.3578,0,420
593,474.3578,0,420
594,474.3578,0,421
595,474.3578,0,422
596,474.3578,0,424
597,474.3578,0,424
598,474.3578,0,424
599,474.3578,0,424
600,474.3578,0,424
601,474.3578,0,434
602,474.3578,0,434
603,474.3578,0,434
604,474.3578,0,434
605,474.3578,0,434
606,474.3578,0,434
607,474.3578,0,434
608,474.3578,0,801
609,474.3578,0,612
610,474.3578,0,612
611,474.3578,0,612
612,474.3578,1,612
613,474.3578,1,613
614,474.3578,1,614
615,474.3578,1,615
616,474.3578,1,616
617,474.3578,1,617
618,474.3578,0,449
619,474.3578,0,449
620,474.3578,0,449
621,474.3578,0,449
622,474.3578,0,449
623,474.3578,0,450
624,474.3578,0,450
625,474.3578,1,625
626,474.3578,1,626
627,474.3578,1,627
628,474.3578,1,628
629,474.3578,1,629
630,474.3578,1,630
631,474.3578,1,631
632,474.3578,1,632
633,474.3578,1,633
634,474.3578,1,634
635,474.3578,1,635
636,474.3578,1,636
637,474.3578,1,637
638,474.3578,1,638
639,474.3578,1,639
640,474.3578,1,640
641,474.3578,1,641
642,474.3578,1,642
643,474.3578,1,643
644,474.3578,1,644
645,474.3578,1,645
646,474.3578,1,646
647,474.3578,1,647
648,474.3578,1,648
649,474.3578,1,649
650,474.3578,1,650
651,474.3578,1,651
652,474.3578,1,652
653,474.3578,1,653
654,474.3578,1,654
655,474.3578,1,655
656,474.3578,1,656
657,474.3578,1,657
658,474.3578,1,658
659,501.2162,1,659
660,501.2162,1,660
661,501.2162,1,661
662,501.2162,1,662
663,501.2162,1,663
664,501.2162,0,663
665,501.2162,0,663
666,501.2162,0,663
667,501.2162,0,669
668,501.2162,0,669
669,501.2162,1,669
670,501.2162,1,670
671,501.2162,1,671
672,501.2162,1,672
673,501.2162,1,673
674,501.2162,1,674
675,501.2162,1,675
676,501.2162,1,676
677,501.2162,1,677
678,501.2162,1,678
679,501.2162,0,678
680,501.2162,0,678
681,501.2162,0,682
682,501.2162,1,682
683,501.2162,1,683
684,501.2162,1,684
685,501.2162,1,685
686,501.2162,1,686
687,501.2162,1,687
688,501.2162,1,688
689,501.2162,1,689
690,501.2162,1,690
691,501.2162,1,691
692,501.2162,1,692
693,501.2162,1,693
694,501.2162,1,694
695,501.2162,1,695
696,501.2162,1,696
697,501.2162,0,696
698,501.2162,0,696
699,501.2162,0,696
700,501.2162,0,696
701,501.2162,0,519
702,501.2162,0,519
703,501.2162,0,927
704,501.2162,0,519
705,501.2162,0,930
706,501.2162,0,930
707,501.2162,0,930
708,501.2162,0,930
709,501.2162,0,519
710,501.2162,0,712
711,501.2162,0,712
712,501.2162,1,712
713,501.2162,1,713
714,501.2162,1,714
715,501.2162,1,715
716,501.2162,1,716
717,501.2162,1,717
718,501.2162,1,718
719,501.2162,1,719
720,501.2162,1,720
721,501.2162,0,720
722,501.2162,0,532
723,501.2162,0,532
724,501.2162,0,532
725,501.2162,0,536
726,501.2162,0,536
727,501.2162,0,536
728,501.2162,0,536
729,501.2162,0,536
730,501.2162,0,536
731,501.2162,0,536
732,501.2162,0,536
733,501.2162,0,536
734,501.2162,0,536
735,501.2162,0,536
736,501.2162,0,536
737,501.2162,0,536
738,501.2162,0,545
739,501.2162,0,545
740,501.2162,0,545
741,501.2162,0,545
742,501.2162,0,378
743,501.2162,0,378
744,501.2162,0,378
745,501.2162,0,381
746,501.2162,0,382
747,501.2162,0,383
748,501.2162,0,384
749,501.2162,0,385
750,501.2162,0,386
751,501.2162,0,386
752,501.2162,0,386
753,501.2162,0,386
754,501.2162,0,386
755,501.2162,0,394
756,501.2162,0,394
757,501.2162,0,394
758,501.2162,0,394
759,501.2162,0,395
760,501.2162,0,396
761,501.2162,0,397
762,501.2162,0,398
763,501.2162,0,399
764,501.2162,0,255
765,501.2162,0,125
766,501.2162,0,126
767,501.2162,0,127
768,501.2162,0,128
769,501.2162,0,129
770,501.2162,0,129
771,501.2162,0,129
772,501.2162,0,129
773,501.2162,0,129
774,501.2162,0,129
775,501.2162,0,129
776,501.2162,0,129
777,501.2162,0,281
778,501.2162,0,281
779,501.2162,0,281
780,501.2162,0,281
781,501.2162,0,281
782,501.2162,0,420
783,501.2162,0,420
784,501.2162,0,420
785,501.2162,0,421
786,501.2162,0,421
787,501.2162,0,424
788,501.2162,0,424
789,501.2162,0,424
790,501.2162,0,424
791,501.2162,0,424
792,501.2162,0,434
793,501.2162,0,801
794,501.2162,0,801
795,501.2162,0,801
796,501.2162,0,801
797,501.2162,0,801
798,501.2162,0,801
799,501.2162,0,801
800,501.2162,0,801
801,501.2162,1,801
802,501.2162,1,802
803,501.2162,1,803
804,501.2162,1,804
805,501.2162,1,805
806,501.2162,1,806
807,501.2162,1,807
808,501.2162,0,809
809,501.2162,1,809
810,501.2162,1,810
811,501.2162,1,811
812,501.2162,1,812
813,501.2162,1,813
814,501.2162,1,814
815,501.2162,1,815
816,501.2162,1,816
817,501.2162,1,817
818,501.2162,1,818
819,501.2162,1,819
820,501.2162,1,820
821,501.2162,1,821
822,501.2162,1,822
823,501.2162,1,823
824,501.2162,1,824
825,501.2162,1,825
826,501.2162,1,826
827,501.2162,1,827
828,501.2162,1,828
829,501.2162,1,829
830,501.2162,1,830
831,501.2162,1,831
832,501.2162,1,832
833,501.2162,1,833
834,501.2162,1,834
835,501.2162,1,835
836,501.2162,1,836
837,501.2162,1,837
838,501.2162,1,838
839,501.2162,1,839
840,501.2162,1,840
841,501.2162,1,841
842,501.2162,1,842
843,501.2162,1,843
844,501.2162,1,844
845,501.2162,1,845
846,501.2162,1,846
847,501.2162,1,847
848,501.2162,1,848
849,501.2162,1,849
850,501.2162,1,850
851,501.2162,1,851
852,501.2162,1,852
853,501.2162,1,853
854,501.2162,1,854
855,501.2162,1,855
856,501.2162,1,856
857,501.2162,1,857
858,501.2162,1,858
859,501.2162,1,859
860,501.2162,1,860
861,501.2162,1,861
862,501.2162,1,862
863,501.2162,1,863
864,501.2162,1,864
865,501.2162,1,865
866,501.2162,1,866
867,501.2162,1,867
868,501.2162,1,868
869,501.2162,1,869
870,501.2162,1,870
871,501.2162,1,871
872,501.2162,1,872
873,501.2162,1,873
874,501.2162,1,874
875,528.0334,1,875
876,528.0334,1,876
877,528.0334,1,877
878,528.0334,1,878
879,528.0334,1,879
880,528.0334,1,880
881,528.0334,1,881
882,528.0334,1,882
883,528.0334,1,883
884,528.0334,0,663
885,528.0334,0,663
886,528.0334,0,663
887,528.0334,0,890
888,528.0334,0,890
889,528.0334,0,890
890,528.0334,1,890
891,528.0334,0,893
892,528.0334,0,893
893,528.0334,1,893
894,528.0334,1,894
895,528.0334,1,895
896,528.0334,1,896
897,528.0334,1,897
898,528.0334,1,898
899,528.0334,1,899
900,528.0334,1,900
901,528.0334,1,901
902,528.0334,1,902
903,528.0334,1,903
904,528.0334,1,904
905,528.0334,1,905
906,528.0334,1,906
907,528.0334,1,907
908,528.0334,1,908
909,528.0334,0,908
910,528.0334,0,908
911,528.0334,0,689
912,528.0334,0,689
913,528.0334,0,689
914,528.0334,0,694
915,528.0334,0,694
916,528.0334,0,694
917,528.0334,0,694
918,528.0334,0,696
919,528.0334,0,696
920,528.0334,0,1145
921,528.0334,0,1145
922,528.0334,0,927
923,528.0334,0,927
924,528.0334,0,927
925,528.0334,0,927
926,528.0334,0,927
927,528.0334,1,927
928,528.0334,1,928
929,528.0334,1,929
930,528.0334,1,930
931,528.0334,1,931
932,528.0334,1,932
933,528.0334,1,933
934,528.0334,1,934
935,528.0334,1,935
936,528.0334,1,936
937,528.0334,1,937
938,528.0334,0,937
939,528.0334,0,937
940,528.0334,0,937
941,528.0334,0,937
942,528.0334,0,532
943,528.0334,0,532
944,528.0334,0,532
945,528.0334,0,532
946,528.0334,0,536
947,528.0334,0,536
948,528.0334,0,536
949,528.0334,0,536
950,528.0334,0,536
951,528.0334,0,536
952,528.0334,0,536
953,528.0334,0,536
954,528.0334,0,536
955,528.0334,0,536
956,528.0334,0,536
957,528.0334,0,536
958,528.0334,0,536
959,528.0334,0,536
960,528.0334,0,536
961,528.0334,0,378
962,528.0334,0,378
963,528.0334,0,381
964,528.0334,0,382
965,528.0334,0,383
966,528.0334,0,384
967,528.0334,0,385
968,528.0334,0,386
969,528.0334,0,386
970,528.0334,0,386
971,528.0334,0,386
972,528.0334,0,386
973,528.0334,0,394
974,528.0334,0,394
975,528.0334,0,394
976,528.0334,0,394
977,528.0334,0,395
978,528.0334,0,396
979,528.0334,0,397
980,528.0334,0,398
981,528.0334,0,399
982,528.0334,0,255
983,528.0334,0,125
984,528.0334,0,126
985,528.0334,0,127
986,528.0334,0,128
987,528.0334,0,129
988,528.0334,0,129
989,528.0334,0,129
990,528.0334,0,129
991,528.0334,0,129
992,528.0334,0,129
993,528.0334,0,129
994,528.0334,0,129
995,528.0334,0,281
996,528.0334,0,281
997,528.0334,0,281
998,528.0334,0,281
999,528.0334,0,281
1000,528.0334,0,420
1001,528.0334,0,420
1002,528.0334,0,420
1003,528.0334,0,421
1004,528.0334,0,1243
1005,528.0334,0,1243
1006,528.0334,0,1243
1007,528.0334,0,434
1008,528.0334,0,434
1009,528.0334,0,434
1010,528.0334,0,434
1011,528.0334,0,801
1012,528.0334,0,801
1013,528.0334,0,801
1014,528.0334,0,801
1015,528.0334,0,801
1016,528.0334,0,801
1017,528.0334,0,801
1018,528.0334,0,801
1019,528.0334,0,1027
1020,528.0334,0,1027
1021,528.0334,0,1027
1022,528.0334,0,1027
1023,528.0334,0,1027
1024,528.0334,0,1027
1025,528.0334,0,1027
1026,528.0334,0,1027
1027,528.0334,1,1027
1028,528.0334,1,1028
1029,528.0334,1,1029
1030,528.0334,1,1030
1031,528.0334,1,1031
1032,528.0334,1,1032
1033,528.0334,1,1033
1034,528.0334,1,1034
1035,528.0334,1,1035
1036,528.0334,1,1036
1037,528.0334,1,1037
1038,528.0334,1,1038
1039,528.0334,1,1039
1040,528.0334,1,1040
