k-Value-Table for Pearson-Type III-Distribution,,,,,,,,,,,,,,,,
Return Period Tn  (in years),,,,,,,,,,,,,,,,
,1.0101,1.0526,1.111,1.25,1.5,2,2.5,3,5,10,20,25,40,50,100,200
Schiefe  cs,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte,k-Werte
2.9,-0.6896,-0.6876,-0.6808,-0.6509,-0.5719,-0.3899,-0.2152,-0.0568,0.4401,1.1954,2.0071,2.2768,2.8549,3.1336,4.0129,4.9088
3,-0.6666,-0.6653,-0.6602,-0.6357,-0.5657,-0.3955,-0.2273,-0.0725,0.4204,1.1801,2.0034,2.2778,2.8674,3.1519,4.0514,4.9696
3.1,-0.6451,-0.6443,-0.6406,-0.6206,-0.559,-0.4004,-0.2387,-0.0877,0.4006,1.1642,1.9987,2.2778,2.8787,3.1691,4.0886,5.029
3.2,-0.625,-0.6244,-0.6218,-0.6057,-0.5518,-0.4045,-0.2495,-0.1024,0.3808,1.1477,1.9931,2.2769,2.8888,3.1851,4.1245,5.087
3.3,-0.6061,-0.6057,-0.6038,-0.591,-0.5441,-0.4079,-0.2596,-0.1166,0.361,1.1308,1.9867,2.2751,2.8979,3.2,4.1592,5.1436
3.4,-0.5882,-0.588,-0.5867,-0.5765,-0.5361,-0.4106,-0.269,-0.1303,0.3413,1.1134,1.9795,2.2723,2.906,3.2138,4.1926,5.1989
3.5,-0.5714,-0.5713,-0.5704,-0.5624,-0.5277,-0.4125,-0.2778,-0.1435,0.3217,1.0955,1.9715,2.2686,2.913,3.2264,4.2247,5.2529
3.6,-0.5556,-0.5555,-0.5548,-0.5487,-0.5191,-0.4138,-0.2859,-0.156,0.3022,1.0773,1.9627,2.2641,2.919,3.238,4.2557,5.3056
3.7,-0.5405,-0.5405,-0.5401,-0.5353,-0.5103,-0.4144,-0.2933,-0.168,0.2829,1.0586,1.9531,2.2587,2.924,3.2485,4.2854,5.357
3.8,-0.5263,-0.5263,-0.526,-0.5224,-0.5013,-0.4144,-0.3001,-0.1794,0.2638,1.0397,1.9428,2.2525,2.928,3.258,4.314,5.4071
3.9,-0.5128,-0.5128,-0.5126,-0.5099,-0.4923,-0.4138,-0.3062,-0.1902,0.2448,1.0204,1.9319,2.2456,2.9311,3.2665,4.3415,5.456
4,-0.5,-0.5,-0.4999,-0.4978,-0.4832,-0.4127,-0.3116,-0.2003,0.2262,1.0008,1.9202,2.2379,2.9332,3.274,4.3678,5.5036
4.1,-0.4878,-0.4878,-0.4877,-0.4862,-0.4742,-0.411,-0.3164,-0.2099,0.2078,0.981,1.908,2.2294,2.9345,3.2806,4.393,5.55
4.2,-0.4762,-0.4762,-0.4761,-0.475,-0.4652,-0.4088,-0.3205,-0.2188,0.1897,0.9609,1.8951,2.2202,2.9349,3.2862,4.4171,5.5953
4.3,-0.4651,-0.4651,-0.4651,-0.4643,-0.4562,-0.4062,-0.324,-0.2271,0.1719,0.9406,1.8816,2.2104,2.9344,3.2909,4.4401,5.6393
4.4,-0.4545,-0.4545,-0.4545,-0.4539,-0.4475,-0.4032,-0.3269,-0.2347,0.1544,0.9202,1.8676,2.1999,2.9331,3.2947,4.4621,5.6822
4.5,-0.4444,-0.4444,-0.4444,-0.444,-0.4388,-0.3999,-0.3293,-0.2418,0.1374,0.8996,1.853,2.1887,2.9311,3.2977,4.483,5.724
4.6,-0.4348,-0.4348,-0.4348,-0.4345,-0.4303,-0.3962,-0.3311,-0.2483,0.1207,0.879,1.8379,2.177,2.9282,3.2998,4.503,5.7646
4.7,-0.4255,-0.4255,-0.4255,-0.4253,-0.422,-0.3922,-0.3324,-0.2542,0.1044,0.8582,1.8223,2.1646,2.9245,3.301,4.5219,5.8042
4.8,-0.4167,-0.4167,-0.4167,-0.4165,-0.4139,-0.388,-0.3331,-0.2595,0.0885,0.8373,1.8063,2.1517,2.9202,3.3015,4.5399,5.8426
4.9,-0.4082,-0.4082,-0.4082,-0.4081,-0.406,-0.3836,-0.3335,-0.2642,0.073,0.8164,1.7898,2.1383,2.9151,3.3012,4.5569,5.88
